Datetime,ETF Net Flow (USD mn)
2025-01-27T00:00:00Z,-457.6
2025-01-24T00:00:00Z,517.7
2025-01-23T00:00:00Z,188.7
2025-01-22T00:00:00Z,248.7
2025-01-21T00:00:00Z,802.6
2025-01-20T00:00:00Z,0.0
2025-01-17T00:00:00Z,1072.8
2025-01-16T00:00:00Z,626.1
2025-01-15T00:00:00Z,755.1
2025-01-14T00:00:00Z,-209.8
2025-01-13T00:00:00Z,-284.1
2025-01-10T00:00:00Z,-149.4
2025-01-09T00:00:00Z,0.0
2025-01-08T00:00:00Z,-568.8
2025-01-07T00:00:00Z,52.4
2025-01-06T00:00:00Z,978.6
2025-01-03T00:00:00Z,908.1
2025-01-02T00:00:00Z,-242.3
2025-01-01T00:00:00Z,0.0
2024-12-31T00:00:00Z,5.3
2024-12-30T00:00:00Z,-415.1
2024-12-27T00:00:00Z,-287.9
2024-12-26T00:00:00Z,475.2
2024-12-25T00:00:00Z,0.0
2024-12-24T00:00:00Z,-338.4
2024-12-23T00:00:00Z,-226.5
2024-12-20T00:00:00Z,-277.0
2024-12-19T00:00:00Z,-671.9
2024-12-18T00:00:00Z,275.3
2024-12-17T00:00:00Z,493.9
2024-12-16T00:00:00Z,636.9
2024-12-13T00:00:00Z,428.9
2024-12-12T00:00:00Z,597.5
2024-12-11T00:00:00Z,223.1
2024-12-10T00:00:00Z,438.5
2024-12-09T00:00:00Z,479.1
2024-12-06T00:00:00Z,376.6
2024-12-05T00:00:00Z,766.7
2024-12-04T00:00:00Z,556.8
2024-12-03T00:00:00Z,676.0
2024-12-02T00:00:00Z,353.6
2024-11-29T00:00:00Z,320.0
2024-11-28T00:00:00Z,0.0
2024-11-27T00:00:00Z,103.0
2024-11-26T00:00:00Z,-122.8
2024-11-25T00:00:00Z,-435.3
2024-11-22T00:00:00Z,490.3
2024-11-21T00:00:00Z,1005.1
2024-11-20T00:00:00Z,773.4
2024-11-19T00:00:00Z,829.5
2024-11-18T00:00:00Z,254.8
2024-11-15T00:00:00Z,-370.0
2024-11-14T00:00:00Z,-400.7
2024-11-13T00:00:00Z,510.1
2024-11-12T00:00:00Z,817.5
2024-11-11T00:00:00Z,1114.1
2024-11-08T00:00:00Z,293.4
2024-11-07T00:00:00Z,1373.8
2024-11-06T00:00:00Z,621.9
2024-11-05T00:00:00Z,-116.8
2024-11-04T00:00:00Z,-541.1
2024-11-01T00:00:00Z,-54.9
2024-10-31T00:00:00Z,32.3
2024-10-30T00:00:00Z,893.3
2024-10-29T00:00:00Z,870.1
2024-10-28T00:00:00Z,479.4
2024-10-25T00:00:00Z,402.0
2024-10-24T00:00:00Z,188.0
2024-10-23T00:00:00Z,192.4
2024-10-22T00:00:00Z,-79.1
2024-10-21T00:00:00Z,294.3
2024-10-18T00:00:00Z,273.7
2024-10-17T00:00:00Z,470.5
2024-10-16T00:00:00Z,458.5
2024-10-15T00:00:00Z,371.0
2024-10-14T00:00:00Z,555.9
2024-10-11T00:00:00Z,253.6
2024-10-10T00:00:00Z,-120.8
2024-10-09T00:00:00Z,-40.6
2024-10-08T00:00:00Z,-18.6
2024-10-07T00:00:00Z,235.2
2024-10-04T00:00:00Z,25.6
2024-10-03T00:00:00Z,-54.2
2024-10-02T00:00:00Z,-91.7
2024-10-01T00:00:00Z,-242.6
2024-09-30T00:00:00Z,61.3
2024-09-27T00:00:00Z,494.4
2024-09-26T00:00:00Z,365.7
2024-09-25T00:00:00Z,105.9
2024-09-24T00:00:00Z,136.0
2024-09-23T00:00:00Z,4.5
2024-09-20T00:00:00Z,92.0
2024-09-19T00:00:00Z,158.3
2024-09-18T00:00:00Z,-52.7
2024-09-17T00:00:00Z,186.8
2024-09-16T00:00:00Z,12.8
2024-09-13T00:00:00Z,263.2
2024-09-12T00:00:00Z,39.0
2024-09-11T00:00:00Z,-43.9
2024-09-10T00:00:00Z,117.0
2024-09-09T00:00:00Z,28.6
2024-09-06T00:00:00Z,-170.0
2024-09-05T00:00:00Z,-211.1
2024-09-04T00:00:00Z,-37.2
2024-09-03T00:00:00Z,-287.8
2024-09-02T00:00:00Z,0.0
2024-08-30T00:00:00Z,-175.6
2024-08-29T00:00:00Z,-71.8
2024-08-28T00:00:00Z,-105.3
2024-08-27T00:00:00Z,-127.1
2024-08-26T00:00:00Z,202.6
2024-08-23T00:00:00Z,252.0
2024-08-22T00:00:00Z,64.8
2024-08-21T00:00:00Z,39.5
2024-08-20T00:00:00Z,88.0
2024-08-19T00:00:00Z,62.1
2024-08-16T00:00:00Z,35.9
2024-08-15T00:00:00Z,11.1
2024-08-14T00:00:00Z,-81.4
2024-08-13T00:00:00Z,39.0
2024-08-12T00:00:00Z,27.8
2024-08-09T00:00:00Z,-89.7
2024-08-08T00:00:00Z,194.6
2024-08-07T00:00:00Z,45.1
2024-08-06T00:00:00Z,-148.6
2024-08-05T00:00:00Z,-168.4
2024-08-02T00:00:00Z,-237.4
2024-08-01T00:00:00Z,50.6
2024-07-31T00:00:00Z,0.3
2024-07-30T00:00:00Z,-18.3
2024-07-29T00:00:00Z,124.1
2024-07-26T00:00:00Z,51.8
2024-07-25T00:00:00Z,31.1
2024-07-24T00:00:00Z,44.5
2024-07-23T00:00:00Z,-78.0
2024-07-22T00:00:00Z,485.9
2024-07-19T00:00:00Z,427.2
2024-07-18T00:00:00Z,37.2
2024-07-17T00:00:00Z,53.3
2024-07-16T00:00:00Z,422.5
2024-07-15T00:00:00Z,300.9
2024-07-12T00:00:00Z,310.1
2024-07-11T00:00:00Z,78.9
2024-07-10T00:00:00Z,147.4
2024-07-09T00:00:00Z,216.4
2024-07-08T00:00:00Z,294.8
2024-07-05T00:00:00Z,143.1
2024-07-04T00:00:00Z,0.0
2024-07-03T00:00:00Z,-20.5
2024-07-02T00:00:00Z,-13.7
2024-07-01T00:00:00Z,129.5
2024-06-28T00:00:00Z,73.0
2024-06-27T00:00:00Z,11.8
2024-06-26T00:00:00Z,21.4
2024-06-25T00:00:00Z,31.0
2024-06-24T00:00:00Z,-174.5
2024-06-21T00:00:00Z,-105.9
2024-06-20T00:00:00Z,-139.9
2024-06-19T00:00:00Z,0.0
2024-06-18T00:00:00Z,-152.4
2024-06-17T00:00:00Z,-145.9
2024-06-14T00:00:00Z,-189.9
2024-06-13T00:00:00Z,-226.2
2024-06-12T00:00:00Z,100.8
2024-06-11T00:00:00Z,-200.4
2024-06-10T00:00:00Z,-64.9
2024-06-07T00:00:00Z,131.0
2024-06-06T00:00:00Z,217.7
2024-06-05T00:00:00Z,488.1
2024-06-04T00:00:00Z,886.6
2024-06-03T00:00:00Z,105.1
2024-05-31T00:00:00Z,48.8
2024-05-30T00:00:00Z,48.8
2024-05-29T00:00:00Z,28.3
2024-05-28T00:00:00Z,45.0
2024-05-27T00:00:00Z,0.0
2024-05-24T00:00:00Z,251.9
2024-05-23T00:00:00Z,107.9
2024-05-22T00:00:00Z,154.0
2024-05-21T00:00:00Z,305.7
2024-05-20T00:00:00Z,237.2
2024-05-17T00:00:00Z,221.5
2024-05-16T00:00:00Z,257.3
2024-05-15T00:00:00Z,303.0
2024-05-14T00:00:00Z,100.5
2024-05-13T00:00:00Z,66.0
2024-05-10T00:00:00Z,-84.7
2024-05-09T00:00:00Z,-11.3
2024-05-08T00:00:00Z,11.5
2024-05-07T00:00:00Z,-15.7
2024-05-06T00:00:00Z,217.0
2024-05-03T00:00:00Z,378.3
2024-05-02T00:00:00Z,-34.4
2024-05-01T00:00:00Z,-563.7
2024-04-30T00:00:00Z,-161.6
2024-04-29T00:00:00Z,-51.6
2024-04-26T00:00:00Z,-83.6
2024-04-25T00:00:00Z,-217.6
2024-04-24T00:00:00Z,-120.6
2024-04-23T00:00:00Z,31.6
2024-04-22T00:00:00Z,62.2
2024-04-19T00:00:00Z,59.7
2024-04-18T00:00:00Z,-4.3
2024-04-17T00:00:00Z,-165.0
2024-04-16T00:00:00Z,-58.0
2024-04-15T00:00:00Z,-36.7
2024-04-12T00:00:00Z,-55.1
2024-04-11T00:00:00Z,91.3
2024-04-10T00:00:00Z,123.7
2024-04-09T00:00:00Z,-19.4
2024-04-08T00:00:00Z,-223.8
2024-04-05T00:00:00Z,203.0
2024-04-04T00:00:00Z,213.4
2024-04-03T00:00:00Z,113.5
2024-04-02T00:00:00Z,39.5
2024-04-01T00:00:00Z,-85.7
2024-03-29T00:00:00Z,0.0
2024-03-28T00:00:00Z,182.8
2024-03-27T00:00:00Z,243.5
2024-03-26T00:00:00Z,418.0
2024-03-25T00:00:00Z,15.4
2024-03-22T00:00:00Z,-51.6
2024-03-21T00:00:00Z,-94.0
2024-03-20T00:00:00Z,-261.5
2024-03-19T00:00:00Z,-326.2
2024-03-18T00:00:00Z,-154.3
2024-03-15T00:00:00Z,198.8
2024-03-14T00:00:00Z,132.7
2024-03-13T00:00:00Z,683.7
2024-03-12T00:00:00Z,1045.0
2024-03-11T00:00:00Z,505.4
2024-03-08T00:00:00Z,223.0
2024-03-07T00:00:00Z,472.5
2024-03-06T00:00:00Z,332.0
2024-03-05T00:00:00Z,648.3
2024-03-04T00:00:00Z,562.7
2024-03-01T00:00:00Z,-139.6
2024-02-29T00:00:00Z,92.3
2024-02-28T00:00:00Z,673.4
2024-02-27T00:00:00Z,576.9
2024-02-26T00:00:00Z,519.9
2024-02-23T00:00:00Z,232.5
2024-02-22T00:00:00Z,251.4
2024-02-21T00:00:00Z,-35.6
2024-02-20T00:00:00Z,135.6
2024-02-19T00:00:00Z,0.0
2024-02-16T00:00:00Z,330.3
2024-02-15T00:00:00Z,477.4
2024-02-14T00:00:00Z,339.7
2024-02-13T00:00:00Z,636.3
2024-02-12T00:00:00Z,493.4
2024-02-09T00:00:00Z,541.5
2024-02-08T00:00:00Z,405.0
2024-02-07T00:00:00Z,146.0
2024-02-06T00:00:00Z,33.6
2024-02-05T00:00:00Z,68.1
2024-02-02T00:00:00Z,80.0
2024-02-01T00:00:00Z,38.5
2024-01-31T00:00:00Z,197.6
2024-01-30T00:00:00Z,247.3
2024-01-29T00:00:00Z,255.1
2024-01-26T00:00:00Z,14.8
2024-01-25T00:00:00Z,-79.8
2024-01-24T00:00:00Z,-158.3
2024-01-23T00:00:00Z,-106.1
2024-01-22T00:00:00Z,-87.4
2024-01-19T00:00:00Z,43.6
2024-01-18T00:00:00Z,-126.6
2024-01-17T00:00:00Z,453.8
2024-01-16T00:00:00Z,-52.7
2024-01-15T00:00:00Z,0.0
2024-01-12T00:00:00Z,203.0
2024-01-11T00:00:00Z,655.3
